City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
377,Isla Mujeres,MX,broken clouds,80.6,21.23,-86.73,Hotel La Joya Isla Mujeres
378,Asilah,MA,clear sky,60.8,35.47,-6.03,Hotel Zelis
380,Mingyue,CN,clear sky,50.22,43.11,128.92,安图土地大厦
381,Bilma,NE,clear sky,67.37,18.69,12.92,Expeditions Ténére voyages
382,Beatrice,US,clear sky,55.0,40.27,-96.75,Victorian Inn Beatrice
384,Suez,EG,few clouds,66.97,29.97,32.53,Green House
385,Palauig,PH,light rain,83.77,15.44,119.9,Myhousebythesea
386,Inhambane,MZ,broken clouds,72.34,-23.86,35.38,Oceano
387,Río Cauto,CU,shower rain,80.6,20.56,-76.92,
389,Coyhaique,CL,clear sky,53.6,-45.58,-72.07,Diego De Almagro Coyhaique
390,North Bend,US,clear sky,54.0,43.41,-124.22,Red Lion Hotel Coos Bay
393,Kaka,TM,clear sky,56.79,37.35,59.61,
394,Camopi,GF,scattered clouds,74.52,3.17,-52.32,
399,Tabou,CI,broken clouds,77.2,4.42,-7.35,hotêl doufoulougou
400,Kloulklubed,PW,light rain,80.6,7.04,134.26,Storyboard Beach Resort
401,Murray Bridge,AU,clear sky,70.0,-35.12,139.27,Balcony On Sixth Lodge
402,São João Batista,BR,scattered clouds,64.4,-27.28,-48.85,INNOVARE SLIM SÃO JOÃO BATISTA
403,Hambantota,LK,broken clouds,82.78,6.12,81.12,Bungalow 63
405,Xingtai,CN,overcast clouds,65.16,37.06,114.49,Xingzhou Hotel
406,Daru,PG,scattered clouds,84.85,-9.08,143.21,New century hotel
410,Guerrero Negro,MX,scattered clouds,69.03,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
411,Barcelos,PT,overcast clouds,62.6,41.54,-8.62,Hotel Do Terço
413,Ca Mau,VN,overcast clouds,87.37,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
414,Lubumbashi,CD,few clouds,60.42,-11.66,27.48,Glo Flats
416,Itsukaichi,JP,clear sky,62.6,35.73,139.22,Seoto-no-yu
418,Port Hardy,CA,overcast clouds,50.0,50.7,-127.42,Airport Inn
419,Arrondissement du Havre,FR,clear sky,53.6,49.58,0.33,gite bois jourdain
420,Mount Gambier,AU,clear sky,64.4,-37.83,140.77,Commodore on the Park
421,Nemuro,JP,clear sky,51.8,43.32,145.57,Hotel Nemuro Kaiyoutei
423,Lompoc,US,clear sky,60.8,34.64,-120.46,Holiday Inn Express Lompoc
424,Launceston,AU,scattered clouds,72.0,-41.45,147.17,Hotel Grand Chancellor Launceston
426,Adré,TD,overcast clouds,78.22,13.47,22.2,
428,Sibu,MY,scattered clouds,82.4,2.3,111.82,RH HOTEL (4 Star)
429,Rancho Palos Verdes,US,scattered clouds,70.0,33.74,-118.39,Terranea Resort
430,Tsabong,BW,clear sky,68.88,-26.02,22.4,Springbok Motel
432,Poum,NC,clear sky,78.66,-20.23,164.02,Gîte kajeon
434,Beloha,MG,clear sky,64.89,-25.17,45.05,
435,Lamu,KE,broken clouds,77.0,-2.27,40.9,Lamu House
436,Bairiki Village,KI,broken clouds,86.0,1.33,172.98,Tarawa Boutique Hotel
439,Ojinaga,MX,clear sky,69.8,29.57,-104.42,Suites Las Palmas
440,Muhafazat Lahij,YE,clear sky,70.97,13.17,44.58,
441,Phuthaditjhaba,ZA,light rain,51.69,-28.52,28.82,Lefika Lodge
